Timeline Trace
Generated on: 2020-10-16 10:54:10
Msec since Epoch: 1602845650041
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
136.475551,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
136.525859,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
136.535536,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
136.542173,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
136.549103,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
136.554341,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
136.559553,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
136.563984,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
136.571037,clGetPlatformInfo|General,START,,,,,,,,,,,4,
136.576598,clGetPlatformInfo|General,END,,,,,,,,,,,4,
136.58111,clGetPlatformInfo|General,START,,,,,,,,,,,5,
136.585961,clGetPlatformInfo|General,END,,,,,,,,,,,5,
136.598239,clGetPlatformInfo|General,START,,,,,,,,,,,6,
136.603375,clGetPlatformInfo|General,END,,,,,,,,,,,6,
136.607632,clGetPlatformInfo|General,START,,,,,,,,,,,7,
136.612064,clGetPlatformInfo|General,END,,,,,,,,,,,7,
136.616317,clGetPlatformInfo|General,START,,,,,,,,,,,8,
136.620922,clGetPlatformInfo|General,END,,,,,,,,,,,8,
136.625159,clGetPlatformInfo|General,START,,,,,,,,,,,9,
136.629712,clGetPlatformInfo|General,END,,,,,,,,,,,9,
136.633951,clGetPlatformInfo|General,START,,,,,,,,,,,10,
136.638584,clGetPlatformInfo|General,END,,,,,,,,,,,10,
136.642845,clGetPlatformInfo|General,START,,,,,,,,,,,11,
136.647282,clGetPlatformInfo|General,END,,,,,,,,,,,11,
136.651658,clGetPlatformInfo|General,START,,,,,,,,,,,12,
136.656351,clGetPlatformInfo|General,END,,,,,,,,,,,12,
136.660641,clGetPlatformInfo|General,START,,,,,,,,,,,13,
136.665121,clGetPlatformInfo|General,END,,,,,,,,,,,13,
136.669406,clGetPlatformInfo|General,START,,,,,,,,,,,14,
136.673788,clGetPlatformInfo|General,END,,,,,,,,,,,14,
136.678083,clGetPlatformInfo|General,START,,,,,,,,,,,15,
136.682546,clGetPlatformInfo|General,END,,,,,,,,,,,15,
136.699813,clGetPlatformInfo|General,START,,,,,,,,,,,16,
136.705238,clGetPlatformInfo|General,END,,,,,,,,,,,16,
136.709827,clGetPlatformInfo|General,START,,,,,,,,,,,17,
136.714314,clGetPlatformInfo|General,END,,,,,,,,,,,17,
136.747846,clGetDeviceIDs|General,START,,,,,,,,,,,18,
136.757594,clGetDeviceIDs|General,END,,,,,,,,,,,18,
136.762443,clGetDeviceIDs|General,START,,,,,,,,,,,19,
136.767399,clGetDeviceIDs|General,END,,,,,,,,,,,19,
136.777058,clRetainDevice|General,START,,,,,,,,,,,20,
136.782499,clRetainDevice|General,END,,,,,,,,,,,20,
136.789634,clRetainDevice|General,START,,,,,,,,,,,21,
136.794387,clRetainDevice|General,END,,,,,,,,,,,21,
136.802004,clCreateContext|General,START,,,,,,,,,,,22,
195.273547,clCreateContext|General,END,,,,,,,,,,,22,
195.3497,clCreateProgramWithBinary|General,START,,,,,,,,,,,23,
3545.59075,clCreateProgramWithBinary|General,END,,,,,,,,,,,23,
3545.627826,clCreateCommandQueue|General,START,,,,,,,,,,,24,
3545.654951,clCreateCommandQueue|General,END,,,,,,,,,,,24,
3545.672365,clCreateKernel|General,START,,,,,,,,,,,25,
3547.1376,clCreateKernel|General,END,,,,,,,,,,,25,
3547.160811,clCreateBuffer|General,START,,,,,,,,,,,26,
3547.189765,clCreateBuffer|General,END,,,,,,,,,,,26,
3547.195594,clCreateBuffer|General,START,,,,,,,,,,,27,
3547.202011,clCreateBuffer|General,END,,,,,,,,,,,27,
3547.207126,clCreateBuffer|General,START,,,,,,,,,,,28,
3547.216967,clCreateBuffer|General,END,,,,,,,,,,,28,
3547.230087,clSetKernelArg|General,START,,,,,,,,,,,29,
3547.265715,clSetKernelArg|General,END,,,,,,,,,,,29,
3547.272532,clSetKernelArg|General,START,,,,,,,,,,,30,
3547.28469,clSetKernelArg|General,END,,,,,,,,,,,30,
3547.289994,clSetKernelArg|General,START,,,,,,,,,,,31,
3547.30578,clSetKernelArg|General,END,,,,,,,,,,,31,
3547.319834,clEnqueueMapBuffer|25586432,START,,,,,,,,,,,32,
3549.151705,clEnqueueMapBuffer|25586432,END,,,,,,,,,,,32,
3549.165594,clEnqueueMapBuffer|25586432,START,,,,,,,,,,,33,
3549.210679,clEnqueueMapBuffer|25586432,END,,,,,,,,,,,33,
3549.401515,clSetKernelArg|General,START,,,,,,,,,,,34,
3549.408588,clSetKernelArg|General,END,,,,,,,,,,,34,
3549.413365,clSetKernelArg|General,START,,,,,,,,,,,35,
3549.418423,clSetKernelArg|General,END,,,,,,,,,,,35,
3549.422723,clSetKernelArg|General,START,,,,,,,,,,,36,
3549.427204,clSetKernelArg|General,END,,,,,,,,,,,36,
3549.434741,clRetainMemObject|General,START,,,,,,,,,,,37,
3549.441315,clRetainMemObject|General,END,,,,,,,,,,,37,
3549.446257,clRetainMemObject|General,START,,,,,,,,,,,38,
3549.451186,clRetainMemObject|General,END,,,,,,,,,,,38,
3549.455855,clRetainMemObject|General,START,,,,,,,,,,,39,
3549.460516,clRetainMemObject|General,END,,,,,,,,,,,39,
3549.465017,clRetainMemObject|General,START,,,,,,,,,,,40,
3549.469655,clRetainMemObject|General,END,,,,,,,,,,,40,
3549.476567,clEnqueueMigrateMemObjects|25586432,START,,,,,,,,,,,41,
3549.494845,WRITE_BUFFER,QUEUE,0X0|bank1-bank2,32768,,,,,,,,,
3549.519016,WRITE_BUFFER,SUBMIT,0X0|bank1-bank2,32768,,,,,,,,,
3549.544924,clEnqueueMigrateMemObjects|25586432,END,,,,,,,,,,,41,
3549.555309,clReleaseMemObject|General,START,,,,,,,,,,,42,
3549.562536,clReleaseMemObject|General,END,,,,,,,,,,,42,
3549.56664,WRITE_BUFFER,START,0X0|bank1-bank2|0X7f4a4f7fe700,32768,,,,,,,2,None,
3549.567616,clReleaseMemObject|General,START,,,,,,,,,,,43,
3549.611072,clReleaseMemObject|General,END,,,,,,,,,,,43,
3549.616141,clReleaseMemObject|General,START,,,,,,,,,,,44,
3549.621388,clReleaseMemObject|General,END,,,,,,,,,,,44,
3549.626034,clReleaseMemObject|General,START,,,,,,,,,,,45,
3549.630704,clReleaseMemObject|General,END,,,,,,,,,,,45,
3549.637472,clWaitForEvents|General,START,,,,,,,,,,,46,
